pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1,0.003538859398393902,0.03837641401169463,0.5454837420536685,1.738613998423047,25,29,
REACTOME_HIV_INFECTION,0.003840436075322101,0.03837641401169463,0.43991850703123797,1.629584953317207,30,64,
REACTOME_PCP_CE_PATHWAY,0.0038676980528140835,0.03837641401169463,0.517144055651338,1.7134553864722648,28,35,
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,0.003932736642256577,0.03837641401169463,0.5323131290734601,1.718496580550202,28,31,
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,0.004154939016217665,0.03837641401169463,0.5121761909693144,1.6849534139492572,30,34,
REACTOME_TCR_SIGNALING,0.004311506332524926,0.03837641401169463,0.526836025413265,1.7129949102531026,31,32,
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,0.0043395714673176026,0.03837641401169463,0.5305043456511768,1.712657182728923,31,31,
REACTOME_MITOTIC_G2_G2_M_PHASES,0.004468845760980593,0.03837641401169463,0.4555091462870731,1.6345563723500502,34,54,
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,0.004475183075671277,0.03837641401169463,0.5297720352912985,1.710293023776949,32,31,
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS,0.0044830865371552776,0.03837641401169463,0.5373377641586706,1.7255898548835582,32,30,
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,0.0044830865371552776,0.03837641401169463,0.5373377641586706,1.7255898548835582,32,30,
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,0.0044830865371552776,0.03837641401169463,0.5373377641586706,1.7255898548835582,32,30,
REACTOME_MAPK6_MAPK4_SIGNALING,0.004649926929719676,0.03837641401169463,0.5123322322159602,1.7079440164001722,34,36,
REACTOME_UCH_PROTEINASES,0.004649926929719676,0.03837641401169463,0.5099117588304736,1.6998749690600954,34,36,
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC,0.004820272689712161,0.03837641401169463,0.5451674555294781,1.7097271827954779,34,27,
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,0.004890639858714849,0.03837641401169463,0.5364835707586559,1.722846724652461,35,30,
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.004890639858714849,0.03837641401169463,0.5364835707586559,1.722846724652461,35,30,
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,0.005099502487562189,0.03837641401169463,0.43554968790481585,1.6036507133239952,40,62,
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.005468963631391851,0.03837641401169463,0.5392130147202244,1.7050681646504653,39,28,
REACTOME_DEGRADATION_OF_AXIN,0.005468963631391851,0.03837641401169463,0.5392130147202244,1.7050681646504653,39,28,
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,0.005468963631391851,0.03837641401169463,0.5392130147202244,1.7050681646504653,39,28,
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,0.005468963631391851,0.03837641401169463,0.5392130147202244,1.7050681646504653,39,28,
REACTOME_STABILIZATION_OF_P53,0.005468963631391851,0.03837641401169463,0.5392130147202244,1.7050681646504653,39,28,
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,0.005524117488547561,0.03837641401169463,0.5204096033680643,1.6920995505518903,40,32,
REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION,0.005524117488547561,0.03837641401169463,0.5204096033680643,1.6920995505518903,40,32,
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,0.005605687722176647,0.03837641401169463,0.5387677695425585,1.703660236137656,40,28,
REACTOME_SOMITOGENESIS,0.005605687722176647,0.03837641401169463,0.5387677695425585,1.703660236137656,40,28,
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,0.0057057465018339895,0.03837641401169463,0.5325532378046427,1.7102249751233194,41,30,
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,0.006040709126723572,0.03837641401169463,0.47720202181090526,1.6377567199014813,45,42,
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G,0.006102522375915379,0.03837641401169463,0.5188860031501636,1.6751490305358614,44,31,
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0.006113299823393561,0.03837641401169463,0.5271094469580491,1.692742953788567,44,30,
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0.006463059181345837,0.03837641401169463,0.4445893567466101,1.6075697973028318,50,56,
REACTOME_DEGRADATION_OF_DVL,0.006533278889342589,0.03837641401169463,0.5305637761711033,1.6910597643742715,47,29,
REACTOME_HEDGEHOG_ON_STATE,0.006533278889342589,0.03837641401169463,0.5305637761711033,1.6910597643742715,47,29,
REACTOME_CLEC7A_DECTIN_1_SIGNALING,0.006567484251440826,0.03837641401169463,0.5029237587162411,1.6545148313149385,48,34,
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,0.006701514542286556,0.03837641401169463,0.5026421403884346,1.6535883654400405,49,34,
REACTOME_ABC_TRANSPORTER_DISORDERS,0.006726457399103139,0.03837641401169463,0.4836800791770061,1.646017850074833,50,40,
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,0.006805498843065197,0.03837641401169463,0.5287026418945027,1.6851277927007244,49,29,
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,0.006805498843065197,0.03837641401169463,0.5287026418945027,1.6851277927007244,49,29,
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,0.006928406466512702,0.03837641401169463,0.52263673930807375,1.6783794389577382,50,30,
REACTOME_SYNTHESIS_OF_DNA,0.006999471737982039,0.03837641401169463,0.4833472855611064,1.637829472571515,52,39,
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,0.007349938750510413,0.03961492411292053,0.5254817304051158,1.6748618189027764,53,29,
REACTOME_S_PHASE,0.007616546290216678,0.03994422881260127,0.4717724022608467,1.6191222726481533,57,42,
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,0.007827009816927567,0.03994422881260127,0.49080685682440905,1.6456506501477206,58,37,
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,0.007838448252956026,0.03994422881260127,0.48881357008724224,1.6295406762809248,58,36,
REACTOME_PTEN_REGULATION,0.007913479293062516,0.03994422881260127,0.4782612131377912,1.627576837902306,59,40,
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,0.008217034041998174,0.040828387896178424,0.4674701309717456,1.6173762222375272,62,44,
REACTOME_APOPTOSIS,0.009377772145482195,0.04459689951862942,0.4360153823769076,1.5765675656244924,73,56,
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.009436107321509778,0.04459689951862942,0.3584351428546018,1.4653621653542221,82,130,
REACTOME_PROGRAMMED_CELL_DEATH,0.009695463020509634,0.04459689951862942,0.42155707746916193,1.5576884070406403,77,63,
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,0.009739843649878252,0.04459689951862942,0.4472929788840774,1.584931080702175,75,50,
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0.009764035801464606,0.04459689951862942,0.5068626345288528,1.6363333096116348,71,31,
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,0.009816927566993898,0.04459689951862942,0.4827522857527446,1.6186440793624073,73,37,
REACTOME_GASTRULATION,0.010344358241459099,0.04633106930681681,0.5133559905692908,1.6362135890940737,75,29,
REACTOME_METABOLISM_OF_POLYAMINES,0.010596386360548838,0.04680070642575737,0.5095750946372185,1.6364336777708022,77,30,
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,0.012395580706009162,0.053997187185081,0.49470243985234075,1.6085133147303452,91,32,
REACTOME_COMPLEX_IV_ASSEMBLY,0.012909632571996028,0.054650479864383254,-0.5109645779094534,-1.7045476506925157,38,19,
REACTOME_REGULATION_OF_RAS_BY_GAPS,0.013041706289906262,0.054650479864383254,0.5014729324158775,1.610414644930895,95,30,
REACTOME_NEDDYLATION,0.013061120973877759,0.054650479864383254,0.42591776149597227,1.5436869245100733,102,57,
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0.013929424250464313,0.056897191760893334,0.47110004737641314,1.5795747114571697,104,37,
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.013955914960219121,0.056897191760893334,0.4523969212965882,1.5652251877517032,106,44,
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.015016766292462458,0.06044723646839319,0.6026386194242601,1.6367927846019124,102,15,
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,0.01521532400489064,0.0604809129194403,0.4969079469172513,1.5957547918746824,111,30,
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,0.015426147319706903,0.06056191169959006,0.4376711547847694,1.5455402015004902,119,49,
REACTOME_DNA_REPLICATION,0.015883264462809916,0.06159607438016528,0.4405268960075449,1.549756873834206,122,48,
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,0.01620104605179232,0.06207147764421636,0.4326695864020357,1.5396553049014492,126,51,
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.01659188145674632,0.0625096068578185,0.3026701408790098,1.3281630770604114,158,290,
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.01670854271356784,0.0625096068578185,0.41556725013093593,1.5211864707135911,132,60,
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,0.017031342400946187,0.06297635911047543,0.3735249295651873,1.4621179315575097,143,93,
REACTOME_MAPK1_MAPK3_SIGNALING,0.017364657814096015,0.0634708182170406,0.42508002435032866,1.5253640200731629,135,54,
REACTOME_CELL_CYCLE_CHECKPOINTS,0.017725627262514042,0.06405397124408484,0.4130791787203425,1.5169190347895558,141,61,
REACTOME_SUMOYLATION,0.018184381167183534,0.06497340686701532,0.5362841882405445,1.601138991023119,128,22,
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,0.01904016692749087,0.067275256477134407,0.44535142519701776,1.5359569356278147,145,43,
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.01945786366076221,0.06799561147387234,0.4779471855358129,1.5636784988949513,144,33,
REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.020265344802449337,0.0700476048606401,0.5895331537767712,1.601197768087452,138,15,
REACTOME_INNATE_IMMUNE_SYSTEM,0.020524392864818396,0.07018018205389516,0.3144235318671058,1.3473455161065464,190,210,
REACTOME_DEUBIQUITINATION,0.021595306453626263,0.072797828013875035,0.4046992705309544,1.4861461396713596,172,61,
REACTOME_HEDGEHOG_OFF_STATE,0.021747778809176502,0.072797828013875035,0.4535791056139725,1.5282210459318926,163,38,
REACTOME_SIGNALING_BY_HEDGEHOG,0.02232435981615233,0.0739494418910046,0.44286985954525643,1.5199287835362094,169,42,
REACTOME_KEAP1_NFE2L2_PATHWAY,0.022856404958677686,0.07493130697793303,0.42878747049612315,1.5084580211510343,176,48,
REACTOME_CELL_CYCLE_MITOTIC,0.027690150718541886,0.08983558393129555,0.35098107235456916,1.391693946358509,236,103,
REACTOME_SIGNALING_BY_WNT,0.027967681789931635,0.08983558393129555,0.3958720380258432,1.4627800534306454,224,63,
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,0.031220937956689253,0.09928258270227183,0.4457317362981998,1.4859202760627213,234,36,
